,Algoritmo,Métrica,Valor
797,RedeNeural,MAPE,99.99408321588234
798,RedeNeural,MAPE,99.99654816711003
799,RedeNeural,MAPE,99.99638224095155
800,RedeNeural,MAPE,99.9971537556961
801,RedeNeural,MAPE,62.30652550215231
802,RedeNeural,MAPE,62.33050272182157
803,RedeNeural,MAPE,62.12494605790961
804,RedeNeural,MAPE,99.98921238127774
805,RedeNeural,MAPE,99.98928666556004
806,RedeNeural,MAPE,99.98938169828347
807,RedeNeural,MAPE,99.99348440463949
808,RedeNeural,MAPE,99.99367631447791
809,RedeNeural,MAPE,99.99422385822803
810,RedeNeural,MAPE,99.67051874319536
811,RedeNeural,MAPE,99.6810428306191
812,RedeNeural,MAPE,99.63944297741747
813,RedeNeural,MAPE,99.9776987908647
814,RedeNeural,MAPE,99.97753930947609
815,RedeNeural,MAPE,99.97757017056745
816,RedeNeural,MAPE,99.97833674270959
817,RedeNeural,MAPE,99.978152785317
818,RedeNeural,MAPE,99.97875474740557
819,RedeNeural,MAPE,99.35894075543916
820,RedeNeural,MAPE,99.29218904008604
821,RedeNeural,MAPE,99.34862155133449
822,RedeNeural,MAPE,99.95652969584944
823,RedeNeural,MAPE,99.9567438121992
824,RedeNeural,MAPE,99.95672247295559
825,RedeNeural,MAPE,99.95721917610283
826,RedeNeural,MAPE,99.95751116116229
827,RedeNeural,MAPE,99.95736832647368
828,RedeNeural,MAPE,98.62125290302298
829,RedeNeural,MAPE,98.66370342657933
830,RedeNeural,MAPE,98.62943355231808
831,RedeNeural,MAPE,99.91495781207871
832,RedeNeural,MAPE,99.91476589131145
833,RedeNeural,MAPE,99.91477971756007
834,RedeNeural,MAPE,99.91586751853144
835,RedeNeural,MAPE,99.91580815365708
836,RedeNeural,MAPE,99.91571246674204
837,RedeNeural,MAPE,64.99013527701685
838,RedeNeural,MAPE,67.68021540536839
839,RedeNeural,MAPE,64.14856058903447
840,RedeNeural,MAPE,99.97871897292224
841,RedeNeural,MAPE,99.97888076074209
842,RedeNeural,MAPE,99.97902284029765
843,RedeNeural,MAPE,99.98397387169197
844,RedeNeural,MAPE,99.98364801273863
845,RedeNeural,MAPE,99.98349563487994
846,RedeNeural,MAPE,85.94415311365724
847,RedeNeural,MAPE,94.99738994044532
848,RedeNeural,MAPE,90.3873447268012
849,RedeNeural,MAPE,99.95885296902507
850,RedeNeural,MAPE,99.95907835528521
851,RedeNeural,MAPE,99.95989439520507
852,RedeNeural,MAPE,99.9667692658974
853,RedeNeural,MAPE,99.97132832568218
854,RedeNeural,MAPE,99.97002987563002
855,RedeNeural,MAPE,102.17382622714157
856,RedeNeural,MAPE,101.77146307026028
857,RedeNeural,MAPE,101.57787289422495
858,RedeNeural,MAPE,99.91990408299962
859,RedeNeural,MAPE,99.92096044678593
860,RedeNeural,MAPE,99.92121578314139
861,RedeNeural,MAPE,99.94842915723937
862,RedeNeural,MAPE,99.95117674833853
863,RedeNeural,MAPE,99.94530083262086
864,RedeNeural,MAPE,97.61446002832224
865,RedeNeural,MAPE,95.78877729251218
866,RedeNeural,MAPE,92.57287706846232
867,RedeNeural,MAPE,99.97877028800983
868,RedeNeural,MAPE,99.97899065292165
869,RedeNeural,MAPE,99.97912779675097
870,RedeNeural,MAPE,99.98528937192248
